S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2019-2020,162.11,4092.45,528.55,3698.32
2,Arunachal Pradesh,2019-2020,131.105,,0,9.87
3,Assam,2019-2020,34.11,,0,49.75
4,Bihar,2019-2020,70.7,,122.2,172.19
5,Chhatisgarh,2019-2020,76,,244.83,424.06
6,Goa,2019-2020,0.05,,0.34,4.9
7,Gujarat,2019-2020,68.95,7541.52,96.53,2986.77
8,Haryana,2019-2020,73.5,,210.55,263.14
9,Himachal Pradesh,2019-2020,911.51,,8.2,40.18
10,Jammu and Kashmir,2019-2020,180.48,,0,40.63
11,Jharkhand,2019-2020,4.05,,4.3,55.45
12,Karnataka,2019-2020,1280.73,4790.6,1896.42,7306.18
13,Kerala,2019-2020,222.02,62.5,0.95,162.38
14,Madhya Pradesh,2019-2020,95.91,2519.89,125.66,2309.29
15,Maharashtra,2019-2020,379.575,5000.33,2559.74,1835.62
16,Manipur,2019-2020,5.45,,0,9.98
17,Meghalaya,2019-2020,32.53,,13.8,3.85
18,Mizoram,2019-2020,36.47,,0,6.05
19,Nagaland,2019-2020,30.67,,0,2.84
20,Odisha,2019-2020,64.625,,59.22,420.28
21,Punjab,2019-2020,173.55,,335.3,961.71
22,Rajasthan,2019-2020,23.85,4299.72,125.13,5275.27
23,Sikkim,2019-2020,52.11,,0,1.94
24,Tamil Nadu,2019-2020,123.05,9304.34,1021.69,3961.56
25,Telangana,2019-2020,90.87,128.1,189.18,3629.1
26,Tripura,2019-2020,16.01,,0,12.9
27,Uttar Pradesh,2019-2020,25.1,,2165.75,1208.52
28,Uttarakhand,2019-2020,214.32,,139.72,327.57
29,West Bengal,2019-2020,98.5,,321.09,127.24
30,Andaman & Nicobar,2019-2020,5.25,,0,12.43
31,Chandigarh,2019-2020,,,0,41.36
32,Dadar & Nagar Haveli,2019-2020,,,0,5.46
33,Daman & Diu,2019-2020,,,0,19.86
34,Delhi,2019-2020,,,52,166.62
35,Lakshwadeep,2019-2020,,,0,3.27
36,Pondicherry,2019-2020,,,0,5.69
37,Others,2019-2020,,4.3,0,45.01
